Employee Code,Total Working Days,Total Full Days,Half Days Due To Duration,Half Days Due To PunchMiss,Half Days Due To Lates,Total Half Days,Total Lates,Total Absent,Total Punch Missed,Total OT Days,Total Half OT Days,Total OT Hours
5225,22,12,0,0,0,0,0,0,0,7,0,0.00
5233,22,11,2,0,0,2,0,1,0,7,0,0.00
5235,22,9,3,0,0,3,0,7,0,6,0,0.00
5239,22,13,5,0,0,5,0,0,0,7,0,0.00
5241,22,10,0,0,0,0,0,3,1,7,0,0.00
5242,22,12,0,0,0,0,0,0,0,7,0,0.00
5253,22,11,0,0,0,0,0,1,0,6,1,0.00
5259,22,12,0,0,0,0,0,0,0,7,0,0.00
5262,22,11,0,0,0,0,0,1,0,7,0,0.00
5284,22,7,1,0,0,1,0,11,0,4,1,0.00
5306,22,11,0,0,0,0,0,1,0,7,0,0.00
5307,22,10,3,0,0,3,0,3,0,6,0,0.00
5309,22,12,0,0,0,0,0,1,0,6,0,0.00
984,22,0,0,0,0,0,0,26,0,0,0,0.00
5114,22,9,0,0,1,1,0,7,1,7,0,0.00
5116,22,0,0,0,0,0,0,26,0,0,0,0.00
5156,22,3,0,0,3,3,0,12,1,5,1,0.00
1346,22,8,1,0,1,2,1,6,2,7,0,0.00
1712,22,1,1,0,4,5,2,13,4,1,3,0.00
1725,22,6,0,0,1,1,3,9,4,5,1,0.00
1727,22,6,1,0,1,2,2,10,1,6,0,0.00
5377,22,8,1,0,1,2,1,9,1,5,0,0.00
1754,22,0,0,0,0,0,0,26,0,0,0,0.00
1816,22,7,0,1,0,1,0,11,3,3,1,0.00
1890,22,11,1,0,0,1,0,2,0,6,0,0.00
1990,22,9,0,0,0,0,0,7,2,6,0,0.00
1991,22,8,0,0,0,0,0,11,2,5,1,0.00
5111,22,0,0,0,0,0,0,26,0,0,0,0.00
5187,22,11,0,0,0,0,3,9,1,5,1,0.00
5310,22,9,1,0,0,1,1,7,0,7,0,0.00
5136,22,5,0,0,1,1,0,16,0,2,0,0.00
1440,22,11,0,0,0,0,3,2,0,6,0,0.00
1646,22,0,0,0,0,0,0,26,0,0,0,0.00
1792,22,11,0,0,0,0,0,1,0,7,0,0.00
1813,22,0,0,0,0,0,0,26,0,0,0,0.00
1856,22,0,0,0,0,0,0,26,0,0,0,0.00
1896,22,11,1,0,0,1,0,0,0,7,0,0.00
